1,2,3,y
1,-1.8144,0.86995,one
1,-0.8363,0.681,one
1,-1.8387,0.87867,one
1,-1.9032,0.96429,one
1,-1.8921,0.95757,one
1,-1.8228,0.92663,one
1,-1.8417,0.91284,one
1,-1.8595,0.94564,one
1,-1.9059,0.96088,one
1,-1.9039,0.95674,one
1,-1.9247,0.96693,one
1,-1.9342,0.97323,one
1,-1.9229,0.96736,one
1,-1.9451,0.97815,one
1,-1.9381,0.97294,one
1,-1.8572,0.91664,one
1,-1.8276,0.90644,one
1,-1.7209,0.84697,one
1,-1.7009,0.8,one
1,-1.8018,0.86745,one
1,-1.6368,0.72637,one
1,-1.692,0.72159,one
1,-1.3247,0.43211,one
1,-1.8928,0.92711,one
1,-1.9203,0.94222,one
1,-1.8494,0.94738,one
1,-1.6465,0.78947,one
1,-1.6412,0.8075,one
1,-1.7319,0.928,one
1,-1.8091,0.85582,one
1,-1.6422,0.71644,one
1,-1.5593,0.59977,one
1,-1.4953,0.56003,one
1,-1.4538,0.53403,one
1,-1.5589,0.62604,one
1,-1.7073,0.79491,one
1,-1.4494,0.56936,one
1,-1.7216,0.83294,one
1,-1.7289,0.83255,one
1,-1.7035,0.78648,one
1,-1.9156,0.98394,one
1,-1.5191,0.66769,one
1,-1.5111,0.58884,one
1,-1.4478,0.52426,one
1,-1.4313,0.43979,one
1,-1.3671,0.399,one
1,-1.9522,0.97544,one
1,-1.9473,0.97885,one
1,-1.9491,0.97087,one
1,-1.5442,0.60415,one
1,-1.5123,0.64851,one
1,-1.8597,0.91739,one
1,-1.7624,0.86105,one
1,-1.6831,0.80685,one
1,-1.899,0.97147,one
1,-1.9306,0.96955,one
1,-1.8729,0.92384,one
1,-1.8784,0.94461,one
1,-1.8602,0.91927,one
1,-1.5171,0.63275,one
1,-1.7294,0.82794,one
1,-1.724,0.82516,one
1,-1.829,0.91114,one
1,-1.8578,0.87696,one
1,-1.8626,0.87915,one
1,-1.6768,0.87447,one
1,-1.7983,0.90321,one
1,-1.484,0.60673,one
1,-1.8566,0.92268,one
1,-1.8644,0.88204,one
1,-1.8565,0.90461,one
1,-1.8282,0.87998,one
1,-1.829,0.87526,one
1,-1.8774,0.92237,one
1,-1.5512,0.68606,one
1,-1.2715,0.41918,one
1,-1.6494,0.76606,one
1,-1.4394,0.54805,one
1,-1.6211,0.74031,one
1,-1.4466,0.5558,one
1,-1.2848,0.63594,one
1,-1.8859,0.93988,one
1,-1.7896,0.83984,one
1,-1.526,0.7375,one
1,-1.1169,0.52734,one
1,-1.8314,0.87346,one
1,-1.8726,0.95303,one
1,-1.7636,0.83538,one
1,-1.8773,0.92384,one
1,-1.8743,0.91394,one
1,-1.45,0.47195,one
1,-1.7479,0.90142,one
1,-1.8032,0.85576,one
1,-1.9189,0.96529,one
1,-1.7286,0.86633,one
1,-0.66808,-0.16037,one
1,-1.9069,0.94777,one
1,-1.5535,0.62744,one
1,-1.3657,0.63538,one
1,-1.7819,0.81279,one
1,-1.7569,0.78223,one
1,-1.7256,0.77331,one
